party,congress,total_censor_token_count
Democrat,46,7
Democrat,47,1
Democrat,48,1
Democrat,49,3
Democrat,50,11
Democrat,51,6
Democrat,52,11
Democrat,53,5
Democrat,54,16
Democrat,55,10
Democrat,56,28
Democrat,57,43
Democrat,58,2
Democrat,59,15
Democrat,60,10
Democrat,61,2
Democrat,62,17
Democrat,63,35
Democrat,64,53
Democrat,65,303
Democrat,66,26
Democrat,67,74
Democrat,68,10
Democrat,69,25
Democrat,70,45
Democrat,71,85
Democrat,72,8
Democrat,73,86
Democrat,74,76
Democrat,75,42
Democrat,76,126
Democrat,77,101
Democrat,78,98
Democrat,79,78
Democrat,80,32
Democrat,81,37
Democrat,82,51
Democrat,83,24
Democrat,84,29
Democrat,85,116
Democrat,86,108
Democrat,87,99
Democrat,88,120
Democrat,89,100
Democrat,90,168
Democrat,91,147
Democrat,92,181
Democrat,93,118
Democrat,94,114
Democrat,95,80
Democrat,96,72
Democrat,97,48
Democrat,98,124
Democrat,99,238
Democrat,100,181
Democrat,101,235
Democrat,102,180
Democrat,103,104
Democrat,104,176
Democrat,105,59
Democrat,106,71
Democrat,107,20
Democrat,108,73
Democrat,109,67
Democrat,110,38
Democrat,111,65
Democrat,112,70
Democrat,113,36
Democrat,114,26
Democrat,115,113
Democrat,116,31
Republican,46,1
Republican,47,3
Republican,48,2
Republican,50,8
Republican,51,4
Republican,52,2
Republican,53,5
Republican,54,16
Republican,55,3
Republican,56,9
Republican,57,51
Republican,59,2
Republican,60,6
Republican,61,8
Republican,62,11
Republican,63,30
Republican,64,33
Republican,65,474
Republican,66,104
Republican,67,27
Republican,68,25
Republican,69,28
Republican,70,14
Republican,71,124
Republican,72,25
Republican,73,97
Republican,74,73
Republican,75,30
Republican,76,50
Republican,77,164
Republican,78,139
Republican,79,136
Republican,80,45
Republican,81,62
Republican,82,115
Republican,83,23
Republican,84,20
Republican,85,22
Republican,86,61
Republican,87,274
Republican,88,91
Republican,89,81
Republican,90,108
Republican,91,77
Republican,92,75
Republican,93,50
Republican,94,63
Republican,95,65
Republican,96,45
Republican,97,71
Republican,98,164
Republican,99,248
Republican,100,169
Republican,101,224
Republican,102,145
Republican,103,71
Republican,104,73
Republican,105,129
Republican,106,55
Republican,107,45
Republican,108,27
Republican,109,59
Republican,110,38
Republican,111,110
Republican,112,65
Republican,113,61
Republican,114,67
Republican,115,55
Republican,116,173
